customer_id,frequency,monetary,recency
00de350c,1,69.99,485
00e0a2be,1,143.6,481
00e13fc0,1,118.9,511
00e144a7,1,99.9,262
00e200fe,1,48.85,496
00e20d0a,1,21.9,120
00e3fdbc,1,79.99,485
00e4dd8d,1,34.99,57
00e5b292,1,79.0,272
00e6cc95,1,59.9,559
00e6ef8a,1,16.0,62
00e73138,1,129.0,205
00e7c798,1,351.2,211
00e7c822,1,149.9,297
00e8bdab,1,39.9,471
00eb2bf2,1,94.5,87
00eb46a6,1,28.9,420
00ec3ab0,1,13.9,470
00ed8dde,1,125.99,105
00ee00c9,1,14.99,152
00ee08bd,1,278.0,318
00eeecca,1,104.9,546
00efae0d,1,444.0,426
00efd0bb,1,26.9,110
00f31970,1,110.0,367
00f394e6,1,997.5,28
00f3b3a7,1,42.99,584
00f4202f,1,164.0,142
00f5111a,1,49.9,492
00f5116a,1,55.0,359
00f539ee,1,169.9,155
00f58ffb,1,59.49,295
00f62173,1,59.9,274
00f625f6,1,69.9,138
00f6b217,1,43.9,462
00f73459,1,228.0,93
00f78230,1,13.99,346
00f8ac75,1,89.99,113
00fb3db8,1,44.9,479
00fb49c2,1,307.3,534
00fb7651,1,168.0,64
00fd2c64,1,106.9,123
00fd7dfb,1,125.0,205
00fd9131,1,59.9,422
00ffaeed,1,169.99,277
00ffbb23,1,59.9,353
01009975,1,69.9,182
01016b17,1,145.0,184
010583f8,1,58.9,325
0105f165,1,35.0,181
010714eb,1,359.6,41
01077b75,1,29.5,227
0107c38d,1,28.0,111
0107d071,1,24.99,273
0107ed88,1,99.0,478
0108bac6,1,64.9,21
01095519,1,1883.13,225
010ac941,1,24.9,536
010be179,1,1359.9,175
010c5ccf,1,47.83,5
010c697e,1,104.69,462
010d1bac,1,50.9,112
010dad3d,1,107.0,230
010e2bfe,1,20.0,259
010ebb5c,1,24.99,40
010f3c6e,1,79.9,84
010ff86b,1,143.8,316
01117743,1,269.99,396
0111b8c8,1,109.9,164
01122215,1,88.0,138
011263a2,1,79.9,524
01156d30,1,34.9,51
0115fdf6,1,178.6,302
01167189,1,159.99,110
0116b6f7,1,129.0,177
0117fc26,1,108.0,191
0117fcfe,1,80.56,35
01187588,1,29.93,359
01187871,1,144.99,13
01190354,1,69.0,366
011a899e,1,89.99,253
011aa301,1,767.4000000000001,481
011aa728,1,75.6,323
011b97b8,1,139.6,103
011caa1d,1,119.0,12
011d2f84,1,78.0,204
011ec289,1,49.9,182
011f5f2d,1,95.6,24
011fc4ea,1,54.9,293
01206a88,1,89.9,413
012087f1,1,119.9,451
01208d73,1,49.0,446
0120f40c,1,69.9,104
0120ff9d,1,26.11,216
01214c5f,1,45.0,10
0122f471,1,19.9,477
01231f8b,1,12.99,182
012413f2,1,89.9,299
0124a56e,1,63.99,124
0125bee4,1,325.8,343
0125ed30,1,560.0,285
0125fdf9,1,29.99,177
01261449,1,49.0,310
01268a9c,1,255.0,269
0126adf5,1,13.99,232
0126c89d,1,72.99,161
0126e712,1,64.9,12
01271eb2,1,167.92,438
0127d98d,1,115.9,234
01287ad2,1,19.9,352
01288d72,1,92.0,192
012890b6,1,79.9,172
012938ae,1,480.0,137
01295bcf,1,89.65,346
0129ed0b,1,171.6,36
012b6996,1,369.95,205
012c2072,1,161.6,139
012ca3be,1,319.06,394
012e0c27,1,204.9,114
0130b37e,1,39.9,60
0130ec6b,1,130.0,204
0131193f,1,359.6,416
01311c3c,1,75.89,215
01311fef,1,140.0,217
0134ab2f,1,180.0,501
0135196a,1,49.9,294
0137aedb,1,59.99,41
0137af0a,1,17.9,258
0137bbd3,1,318.98,100
0137f0a4,1,55.9,341
01383005,1,55.16,34
01389f4d,1,75.0,277
0138bea3,1,58.9,62
01391e5f,1,197.9,557
01397215,1,159.0,272
013b46f9,1,11.55,229
013bdb99,1,194.99,362
013c39ad,1,129.99,244
013e49bb,1,55.9,211
013e4fc1,1,94.89,125
013e5c6a,1,279.6,135
013f6eb2,1,132.7,428
0140bb3a,1,69.9,194
01414201,1,215.6,188
01415cfe,1,29.9,689
0142101e,1,153.6,251
0142bd31,1,169.9,63
0143daf7,1,448.0,406
0145c94f,1,113.0,447
0145ffd2,1,234.68,112
014693f2,1,369.9,121
0146c236,1,313.9,513
014734ae,1,89.0,177
0147fbc5,1,169.96,528
0148732a,1,179.0,112
0148eb6c,1,42.9,74
0148f71e,1,80.0,103
014945a1,1,24.75,421
014a6123,1,110.0,260
014a9fe1,1,84.9,243
014b7917,1,17.5,3
014cb897,1,519.0,107
014e22eb,1,159.99,510
014ea662,1,70.9,359
014f2d06,1,62.8,376
014f3e3c,1,169.9,26
014f4ea4,1,219.0,158
014fb09b,1,249.75,276
01503d0b,1,630.0,186
015041e1,1,173.9,50
01509d55,1,44.9,126
01514a0b,1,140.0,39
01531516,1,29.99,148
0153b548,1,139.99,260
01541240,1,79.0,492
0154fa29,1,66.5,226
01551ab7,1,19.98,278
01554787,1,400.0,142
0156bade,1,229.0,294
01570eff,1,169.6,328
01571872,1,149.99,347
0157cb86,1,65.0,427
0157d2d9,1,48.9,112
015895fd,1,143.8,268
01592d05,1,14.99,273
015aa1d1,1,18.9,449
015bbed5,1,189.95,398
015bf7d4,1,49.9,281
015c3378,1,89.9,225
015c5e6d,1,49.99,100
015c9c9b,1,158.0,336
015d0c1d,1,65.0,325
015d22bc,1,55.0,170
015e106d,1,71.9,66
015f98a7,1,45.0,63
015faf9e,1,396.0,360
016025d2,1,6944.0,334
016112a4,1,24.9,413
016187b7,1,49.9,350
01621ab8,1,621.0,81
0162379b,1,61.99,166
01627a58,1,19.99,122
016287d0,1,69.99,379
0163303a,1,88.9,53
0163a951,1,89.9,430
0165051a,1,139.0,156
0165da25,1,79.9,219
0166c4eb,1,97.0,109
01678434,1,38.9,255
01678728,1,35.99,133
01681beb,1,286.4,343
016890b2,1,799.8,59
01690063,1,149.0,278
016965c9,1,65.0,326
016976e1,1,29.98,180
016a3b5b,1,389.9,382
016b15d6,1,439.65,91
016b9c55,1,99.9,26
016c54a7,1,34.99,204
016c5c3f,1,122.99,86
016c933a,1,69.49,137
016e3f83,1,29.0,547
016fb9a9,1,110.0,98
01709d66,1,78.0,34
0171707a,1,195.0,281
0171c992,1,23.49,479
017245b7,1,45.0,335
01726eb7,1,35.0,277
01727484,1,298.0,235
017395cf,1,25.99,554
01752e42,1,259.9,265
01755c16,1,19.99,34
0176d6c1,1,175.0,493
0176dd91,1,119.9,215
0176ec19,1,719.99,335
0178cbf0,1,35.99,22
0179f2f4,1,5760.0,111
017af687,1,706.28,531
017b6001,1,96.8,18
017bd021,1,99.9,153
017c416d,1,140.9,289
017dd379,1,78.0,89
017f0220,1,34.99,111
017ffa57,1,719.6,484
01813ee9,1,189.9,391
01815095,1,1099.0,8
018184ac,1,29.9,501
018346fb,1,23.21,231
018445b4,1,190.0,525
01844739,1,29.99,10
0184a596,1,99.49,103
018546fb,1,199.0,165
01861d47,1,69.9,243
01870df5,1,79.0,247
01874b13,1,18.9,86
0187f8ae,1,135.0,287
01885ec8,1,116.99,307
0189d5af,1,349.9,342
018a1c30,1,165.0,98
018b4fd2,1,67.9,26
018bd804,1,250.0,15
018bda31,1,26.9,534
018c66db,1,52.9,410
018c9981,1,386.75,196
018d3918,1,989.0,104
018d655f,1,123.0,163
018dd62c,1,23.7,195
018e7025,1,29.99,106
018ffb86,1,99.99,390
019017e9,1,179.9,39
0191e091,1,40.0,266
019200fa,1,1899.0,36
01928275,1,2999.7499999999995,315
0192b93a,1,299.6,171
0193c07a,1,122.99,165
0193e732,1,75.6,524
01945b2f,1,128.8,241
01952039,1,146.6,12
0195699b,1,289.8,185
01961d1b,1,69.9,571
019681cd,1,329.8,357
01968935,1,44.99,66
01970508,1,173.9,109
01973489,1,299.99,123
0197368f,1,249.9,365
0197df52,1,489.98,77
0198441f,1,89.9,126
019874e4,1,183.6,330
0199164b,1,185.6,183
01993877,1,16.9,398
01998a22,1,23.9,65
019a09b9,1,159.0,198
019b7076,1,89.9,478
019b7b40,1,56.99,406
019dc2cd,1,759.92,407
019f698e,1,69.9,368
01a0d45a,1,34.9,581
01a14c29,1,165.9,500
01a1579c,1,139.9,278
01a29eb8,1,14.0,49
01a2c54f,1,67.9,490
01a35369,1,207.06,537
01a4594f,1,40.9,138
01a4d290,1,68.0,414
01a51dab,1,175.0,31
01a52718,1,69.9,136
01a56495,1,339.8,213
01a61e75,1,230.0,10
01a62912,1,58.9,37
01a666b8,1,98.0,160
01a672f8,1,39.99,13
01a7b4df,1,69.9,103
01a9cf1a,1,159.0,152
01a9e6a6,1,79.9,22
01ab4109,1,38.8,164
01abb8df,1,49.9,215
01addb43,1,99.96,219
01aed44f,1,175.6,29
01aef689,1,326.0,30
01aefa3a,1,15.0,117
01af5e81,1,78.8,180
01afc06d,1,29.99,151
01b0099d,1,79.9,258
01b29f87,1,79.0,253
01b2ab1c,1,39.9,463
01b365de,1,39.9,29
01b44b1e,1,359.6,496
01b4d8ed,1,17.9,75
01b6593a,1,89.9,494
01b783aa,1,689.89,181
01b7e319,1,21.89,170
01b8c0cf,1,192.0,44
01bb4e5d,1,497.5,275
01bc42b3,1,75.0,110
01bd3cc2,1,59.9,454
01be2c0c,1,249.9,694
01bea2d6,1,23.99,379
01bf509b,1,39.0,118
01c013b2,1,13.7,176
01c21b9e,1,79.9,432
01c2a51e,1,75.0,285
01c3c124,1,9.0,56
01c3dbf3,1,326.16,126
01c41ead,1,134.9,85
01c45d89,1,59.9,484
01c5a393,1,199.99,405
01c622ea,1,279.99,408
01c77b0f,1,53.49,170
01c79a7d,1,412.0,210
01c79f3a,1,75.0,20
01c843a2,1,255.77999999999997,387
01c9d951,1,27.99,287
01ca0c5a,1,359.6,512
01cc6890,1,89.18,569
01cc7e6d,1,120.0,298
01cc8550,1,235.78,132
01cca8f4,1,75.0,293
01cd1ba7,1,109.95,178
01cd4f08,1,19.9,197
01cd5f54,1,64.0,150
01ce9c8d,1,109.9,197
01cf93ca,1,110.32,108
01cfa5a9,1,54.9,191
01d086a8,1,89.9,324
01d190d1,1,223.9,273
01d238a7,1,122.99,228
01d25901,1,7.9,174
01d33ef4,1,209.0,230
01d37fd9,1,39.99,112
01d3b76b,1,125.9,25
01d443a4,1,189.0,231
01d44448,1,29.0,296
01d46d05,1,119.9,199
01d53422,1,79.9,451
01d581c1,1,12.99,6
01d5f750,1,53.9,164
01d7603b,1,134.99,267
01d7e86d,1,155.32,42
01d87bd7,1,14.6,164
01d95b94,1,88.95,197
01daed34,1,70.9,53
01de8fda,1,89.9,520
01dea2b1,1,229.04,205
01deaf18,1,26.99,442
01e0d4fb,1,636.0,584
01e16f52,1,83.99,60
01e2dee0,1,1196.0,156
01e3b59f,1,42.99,135
01e44a7a,1,499.9,442
01e466f5,1,146.0,14
01e5b020,1,259.6,574
01e5e755,1,150.0,114
01e77dc6,1,99.89,226
01e8d532,1,299.99,403
01e92a3b,1,106.0,175
01ea4160,1,69.99,107
01ea69b1,1,199.6,20
01eb5d87,1,20.99,516
01eb7553,1,138.9,156
01ebd22b,1,57.49,122
01ebd729,1,319.96,126
01ec27f8,1,129.0,387
01edba0c,1,113.9,230
01ee3674,1,479.96,479
01ef9a97,1,29.99,56
01f122c4,1,359.6,519
01f19842,1,57.99,125
01f1b8e8,1,99.0,422
01f1dc60,1,44.5,245
01f2ee4c,1,69.0,473
01f4581b,1,61.4,24
01f57b22,1,390.0,63
01f5c92b,1,204.0,147
01f619b9,1,623.7,121
01f71559,1,17.38,469
01f73b77,1,59.99,34
01f7a619,1,129.9,123
01f7aa57,1,129.99,288
01f7f5d4,1,35.0,68
01f831a3,1,94.9,105
01f841d4,1,15.99,37
01f96faf,1,319.96,229
01f9be48,1,119.9,195
01fa00e0,1,365.8,315
01fa1202,1,179.9,34
01fa32b1,1,70.0,187
01fa535b,1,99.0,82
01fa9799,1,164.33,493
01fb2aa7,1,229.9,126
01fb8712,1,242.0,278
01fb955d,1,73.96,302
01fb9c97,1,49.9,207
01fba1cb,1,72.0,51
01fbee52,1,101.0,468
01fc0516,1,10.0,693
01ff2b68,1,467.64,372
0201bb51,1,54.9,435
02033fca,1,357.96,215
02035a6c,1,48.9,22
02036d14,1,49.0,169
0203e70e,1,75.0,220
02044ee0,1,179.0,209
0204531a,1,62.9,337
0204a63d,1,123.9,138
0205014b,1,42.9,293
02051904,1,39.0,285
02057155,1,140.0,62
02060b47,1,539.9,36
0206228d,1,98.7,167
02077904,1,139.99,212
02078129,1,90.0,10
0207ca7d,1,243.6,389
0207cb4b,1,299.99,284
0208fd62,1,210.99,66
020a406d,1,14.9,266
020b0645,1,24.99,86
020b5927,1,149.9,300
020bc050,1,57.9,161
020bf372,1,209.9,352
020c3bb8,1,199.99,135
020c8750,1,554.9,17
020d4e12,1,539.0,173
020e0c20,1,379.9,56
020edf80,1,29.99,114
020f4af7,1,24.8,123
020fff13,1,39.49,19
02112377,1,23.8,197
0211481b,1,520.0,339
021212b1,1,279.6,148
02147933,1,239.6,481
0214d81e,1,441.28,112
0215ccbc,1,69.9,180
021633f3,1,49.0,59
02179f1b,1,79.9,161
0217db9e,1,69.9,144
02181664,1,569.0,81
021833e9,1,29.9,692
0218c9f0,1,370.0,496
0218cebf,1,116.0,274
0218de80,1,54.9,197
02193de2,1,44.9,349
021987f5,1,37.99,110
0219be9d,1,200.0,379
0219c0ad,1,25.99,534
0219e8c8,1,79.0,196
021ccba4,1,37.99,247
021d6c66,1,370.47,383
021e1ff9,1,46.99,133
021f73e7,1,274.99,287
0221ef53,1,39.9,80
02221ce2,1,16.5,182
0222766a,1,59.9,292
02228cce,1,36.99,295
0222b08d,1,117.78,123
0223b85b,1,35.0,65
0223eb5b,1,139.9,313
022422df,1,23.9,274
022436c1,1,144.95,373
0224e997,1,143.0,122
0225ea66,1,62.9,103
0226546c,1,67.0,15
022656ca,1,14.9,277
0227176d,1,189.0,216
02277211,1,119.0,63
02286830,1,151.2,290
02288a47,1,12.88,345
02292531,1,79.9,26
0229d745,1,269.9,482
022aad84,1,130.0,460
022b1e47,1,34.9,185
022bc7ff,1,119.6,120
022bdd44,1,232.0,154
022c68d5,1,129.6,484
022ce4a3,1,86.99,512
022d21be,1,26.99,375
022d2a2e,1,89.9,425
022d8582,1,269.9,122
022d8f48,1,179.99,18
022de985,1,24.9,422
022e192e,1,120.0,257
022f2413,1,599.0,372
022f451e,1,159.0,136
022f4d87,1,16.79,532
023042a5,1,181.9,394
02307143,1,400.0,12
0230afeb,1,32.9,410
02328f10,1,107.0,371
023340b4,1,189.0,30
0234b5ca,1,126.12,90
0235a81a,1,134.9,339
0235c7c0,1,51.4,469
0236c91e,1,19.9,238
0237d2fa,1,117.3,338
02381249,1,48.5,17
02385ca2,1,1004.99,385
023a2dda,1,86.99,305
023a4933,1,74.8,336
023cd488,1,159.0,143
023cf83a,1,5040.0,174
023d1d56,1,325.0,335
023f52d0,1,449.99,181
023fafd7,1,2994.12,146
02405cd3,1,33.5,202
0240a546,1,123.0,90
0241277b,1,49.99,497
02416483,1,60.0,257
02419e62,1,109.9,352
0241bf67,1,239.6,549
02424d17,1,119.9,498
024269ae,1,249.99,174
0244095d,1,59.9,408
02447d43,1,167.6,318
0244fcc0,1,55.9,547
024528df,1,56.99,529
02467956,1,39.99,104
02469bb7,1,59.99,17
02470f4d,1,19.99,172
0247131a,1,38.25,214
0247d5ee,1,39.99,232
02494bca,1,29.9,90
024a05bd,1,183.96,87
024ae08e,1,175.6,337
024aee4b,1,250.0,100
024d9375,1,119.0,67
024dad8e,1,599.0,266
024f6396,1,439.65,100
024fb58b,1,94.99,114
02502a29,1,22.49,80
025247de,1,14.89,83
0253a59a,1,139.0,30
0253cea0,1,3.9,293
02548f54,1,104.0,133
0254fef2,1,319.9,179
02554a34,1,29.9,312
0255d676,1,59.9,329
02565e51,1,139.9,358
025868b2,1,225.0,438
0258af3a,1,109.9,224
0258b860,1,49.9,522
0259f744,1,50.0,36
025a1378,1,35.0,22
025aacb4,1,39.99,119
025c2b26,1,249.99,40
025c7748,1,144.99,198
025ce7b0,1,33.9,149
025d5d5b,1,299.0,423
025dc05e,1,104.0,554
025e01e9,1,59.99,260
025ede66,1,44.9,541
0260bd7b,1,63.72,123
02611d7a,1,27.9,56
026134c3,1,234.9,227
02625456,1,129.0,309
02628c7e,1,179.9,108
026378e6,1,26.0,312
0263aeae,1,347.6,106
026460d9,1,205.0,135
0264bbda,1,65.0,23
0264f4e5,1,21.99,37
0266506e,1,148.0,260
0267014f,1,119.0,425
0267501c,1,84.99,272
02686541,1,199.9,137
026953f1,1,159.9,461
026adcb5,1,339.0,302
026ae247,1,138.98,45
026b1c08,1,100.0,23
026bfde4,1,45.0,57
026ca919,1,39.99,374
026cbd2a,1,45.95,290
026eefd0,1,320.0,126
027021c1,1,34.9,444
0270aff4,1,99.99,530
027173ae,1,27.9,30
0272a0e2,1,59.5,570
02731f7e,1,135.0,153
0273345e,1,86.0,51
02735ed0,1,56.99,482
027366c5,1,94.8,186
0273ad50,1,91.0,11
02741679,1,59.9,279
02745d8d,1,64.9,196
0275161c,1,26.9,15
02752ad4,1,86.9,233
02754b1e,1,363.96,422
027590bb,1,127.9,380
027711a5,1,13.62,83
0277bd79,1,58.99,148
0277e884,1,84.99,127
0278a505,1,199.6,342
027976d4,1,25.0,293
027a044f,1,109.9,448
027a9087,1,32.9,330
027add44,1,69.2,233
027ae9ec,1,185.0,9
027b997d,1,36.0,314
027c4c1a,1,29.49,415
027e8c3f,1,159.9,52
027ece81,1,89.9,176
027efc22,1,59.9,338
027f4567,1,259.96,31
027f4c7b,1,47.49,214
027f4d22,1,109.9,15
0280e273,1,104.9,587
0280ead6,1,66.71,87
02822ed2,1,374.9,385
0282e1d6,1,39.9,166
02841fd8,1,149.99,86
028514f8,1,148.0,10
02852e25,1,10.0,272
02860b05,1,59.9,467
0288ac53,1,1899.05,184
028b0af5,1,59.9,140
028b14fc,1,57.49,250
028c802f,1,69.0,358
028c9129,1,12.9,302
028d32c1,1,344.25,255
028d8c05,1,129.0,136
028d9c8c,1,189.9,118
028e29b6,1,299.0,522
028ec507,1,49.9,23
028ef412,1,49.9,242
028f1d10,1,59.99,358
028f2ba1,1,137.0,515
02924d52,1,214.99,438
0293c0d1,1,39.99,233
0293f0ef,1,69.9,189
0294d91f,1,31.5,245
02958539,1,190.32,23
02973b8a,1,24.99,282
0297b96a,1,265.0,105
0297d424,1,55.0,49
02989a5b,1,249.9,231
0298eec4,1,29.99,347
02990abe,1,79.0,495
02994cfc,1,32.64,349
0299a3ec,1,14.0,178
0299b0be,1,59.98,294
029a95a4,1,29.6,532
029bbe8f,1,24.9,489
029be5fc,1,110.32,42
029c1beb,1,40.0,111
029c22b3,1,45.0,555
029c2a6b,1,12.7,426
029c5f91,1,117.8,202
029ca19a,1,89.99,260
